1000, 400000, RANDOM, SKEWED, RANDOM
Vertex, Color, Original degree, Total colors used, Avg. original degree
0, 48, 945, 5e+02, 800
1, 486, 935
2, 480, 940
3, 9, 942
4, 475, 940
5, 6, 942
6, 452, 944
7, 172, 949
8, 251, 944
9, 254, 939
10, 170, 948
11, 296, 941
12, 162, 948
13, 493, 939
14, 71, 938
15, 315, 946
16, 414, 942
17, 402, 938
18, 36, 939
19, 385, 945
20, 341, 938
21, 28, 944
22, 65, 947
23, 13, 946
24, 137, 935
25, 22, 942
26, 469, 945
27, 458, 943
28, 306, 938
29, 113, 941
30, 132, 936
31, 118, 941
32, 354, 944
33, 360, 930
34, 497, 939
35, 110, 936
36, 138, 944
37, 128, 947
38, 253, 934
39, 413, 941
40, 395, 942
41, 326, 941
42, 14, 943
43, 150, 943
44, 463, 938
45, 257, 941
46, 261, 942
47, 243, 931
48, 245, 931
49, 109, 946
50, 56, 939
51, 349, 941
52, 94, 942
53, 308, 924
54, 410, 932
55, 79, 927
56, 516, 934
57, 377, 946
58, 85, 928
59, 96, 933
60, 291, 939
61, 373, 936
62, 468, 930
63, 383, 934
64, 305, 951
65, 287, 932
66, 69, 930
67, 194, 941
68, 77, 938
69, 201, 934
70, 461, 931
71, 494, 928
72, 202, 934
73, 74, 934
74, 474, 945
75, 348, 929
76, 234, 932
77, 459, 934
78, 210, 938
79, 250, 937
80, 433, 935
81, 135, 933
82, 153, 941
83, 328, 930
84, 428, 933
85, 293, 934
86, 192, 935
87, 186, 935
88, 408, 935
89, 157, 948
90, 355, 936
91, 310, 926
92, 369, 940
93, 332, 939
94, 215, 940
95, 321, 936
96, 147, 923
97, 208, 932
98, 81, 927
99, 123, 937
100, 31, 938
101, 496, 937
102, 426, 942
103, 431, 943
104, 457, 930
105, 399, 942
106, 447, 942
107, 512, 932
108, 362, 935
109, 209, 924
110, 509, 932
111, 508, 931
112, 23, 939
113, 21, 931
114, 188, 929
115, 88, 928
116, 233, 937
117, 303, 937
118, 86, 934
119, 472, 935
120, 87, 930
121, 270, 937
122, 216, 924
123, 125, 930
124, 304, 932
125, 3, 936
126, 312, 931
127, 49, 935
128, 338, 938
129, 367, 934
130, 513, 934
131, 392, 941
132, 1, 932
133, 145, 924
134, 158, 939
135, 329, 937
136, 455, 927
137, 67, 929
138, 262, 925
139, 50, 926
140, 318, 933
141, 244, 933
142, 116, 934
143, 54, 935
144, 60, 928
145, 477, 921
146, 409, 935
147, 405, 929
148, 195, 926
